TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/16 1:10:23 PM EST,CMP 128 Computer Science I,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,N/A,Computer Science,Yes,Yes,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/16 1:11:33 PM EST,CMP 128 Computer Science I,Some Impact,High Impact,Some Impact,N/A,N/A,N/A,N/A,Some Impact,N/A,High Impact,N/A,No Impact,No Impact,High Impact,CIS Game Development,Yes,,,,,,,,,,,,First Choice,,,Prefer not to say,18 and younger
2020/09/16 1:12:11 PM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Undecided,,,,,,,,,,,,,,3,"I think Computer Science and programming can be interesting, so I believe it can be interesting to try to learn despite it not being one of my own personal interests ",Woman,19-20
2020/09/16 1:12:18 PM EST,CMP 128 Computer Science I,Some Impact,High Impact,Some Impact,N/A,Some Impact,Some Impact,N/A,N/A,N/A,Some Impact,N/A,Some Impact,N/A,N/A,Computer Science,,Yes,,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/16 1:13:34 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Mathematics,,,,,,,,,,,,,,4,It is interesting to learn computing notions and tools and how to operate a program.,Woman,21-24
2020/09/16 1:13:36 PM EST,CMP 128 Computer Science I,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,N/A,Mechanical Engineering Technology,,,,,,,,,,,,,,2,Not required,Man,21-24
2020/09/16 1:14:34 PM EST,CMP 128 Computer Science I,N/A,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Technical Studies,,,,,,,,,Yes,,,Yes,First Choice,,,Man,18 and younger
2020/09/16 1:14:48 PM EST,CMP 128 Computer Science I,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,Yes,Yes,,,,Yes,,,,Yes,,,First Choice,,,Man,18 and younger
2020/09/16 1:20:47 PM EST,CMP 128 Computer Science I,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,3,"I like using computers, but when I figured out how they work and all the languages involved, I decided it probably wouldnt be for me.",Man,21-24
2020/09/17 12:05:35 AM EST,CMP 128 Computer Science I,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,CIS Game Development,Yes,Yes,,Yes,,Yes,,,,,,Yes,First Choice,,,Man,18 and younger
