TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/24 3:19:26 PM EST,CMP 128 Computer Science I,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Computer Science,1,1,,,,,,,,,,,Mechanical Engineering and Tech0logy ,,,Man,19-20
2020/09/24 3:23:47 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Information Tech0logy,1,,,,1,,,,,,,1,First Choice,,,Man,25-34
2020/09/24 3:33:29 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,1,0,0,0,1,2,Engineering,,,,,,,,,,,,,,5,These types of classes are what will help me become successful in my chosen career.,Woman,21-24
2020/09/24 3:48:30 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,2,2,2,0,2,1,1,Mechanical Engineering Tech0logy,,,,,,,,,,,,,,5,"In my career, I need to use a lot of tools involving computers",Man,21-24
2020/09/24 3:58:59 PM EST,CMP 128 Computer Science I,1,N/A,N/A,N/A,N/A,N/A,N/A,1,2,1,N/A,1,1,N/A,Information Security Certificate of Achievement,1,1,,,1,1,,,,,1,1,Business,,,Man,19-20
2020/09/24 4:01:19 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,1,1,1,2,0,2,0,Computer Science,1,1,,1,,1,,,,,1,1,First Choice,,,Woman,25-34
2020/09/24 4:19:14 PM EST,CMP 130 Intro to IT,1,N/A,N/A,N/A,N/A,N/A,N/A,2,2,0,0,0,0,0,Information Tech0logy,1,1,,,,1,,,,,1,,First Choice,,,Woman,18 and younger
2020/09/24 5:01:22 PM EST,CMP 130 Intro to IT,1,0,0,0,0,0,0,2,2,2,2,2,2,0,Information Tech0logy,1,1,,1,1,1,1,,1,1,,1,First Choice,,,Man,25-34
2020/09/24 5:01:41 PM EST,CMP 128 Computer Science I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,1,Nursing,,,,,,,,,,,,,,1,0t within my interests,Woman,18 and younger
2020/09/24 5:26:35 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Information Tech0logy,1,,,,,,,,,,,1,Electronical Engineering ,,,Man,21-24
2020/09/24 5:34:53 PM EST,CMP 130 Intro to IT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Information Security Certificate of Achievement,1,,,,,,,,,1,,,Engineering,,,Man,21-24
